instance,ratio,gs_zLB,gs_gap_pct,gs_obj,lp_ks-full,obj_ks-full,lp_ks-cg,obj_ks-cg,lp_fks-cg,obj_fks-cg,diff_ks-full_pct,diff_ks-cg_pct,diff_fks-cg_pct
p1000-1000-61,1.1,6758656.018,0.29,6778313.12606559,6771761.918177756,6778307.566619,6771761.918177764,6778307.566619,6771761.918177764,6778307.566619,-8.201814355024024e-05,-8.201814355024024e-05,-8.201814355024024e-05
p1000-1000-62,1.1,7291221.35,0.252,7309641.646950314,7300341.635797066,7309351.566869,7300341.635797077,7309351.566869,7300341.635797077,7309351.566869,-0.003968458309237006,-0.003968458309237006,-0.003968458309237006
p1000-1000-63,1.1,6883562.382,0.305,6904621.4775063945,6896259.269678013,6904218.000678,6896259.269678022,6904218.000678,6896259.269678022,6904218.000678,-0.005843576359817677,-0.005843576359817677,-0.005843576359817677
p1000-1000-64,1.1,6581290.726,0.298,6600961.591542797,6591361.48964412,6600875.563011,6591361.489644124,6600875.563018,6591361.489644124,6600875.563011,-0.0013032727217720925,-0.0013032726157296563,-0.0013032727217720925
p1000-1000-65,1.1,6786289.74,0.305,6807051.246301219,6797111.300512014,6805865.301061,6797111.300512019,6805865.301061,6797111.300512019,6805865.301061,-0.017422305155459738,-0.017422305155459738,-0.017422305155459738
p1000-1000-66,1.5,4966101.073,1.968,5065795.937040966,5033406.497230578,5061420.227743,5033406.497230577,5061732.173381,5033406.497230577,5061415.380182,-0.08637752788206768,-0.08021964781984299,-0.08647321987322093
p1000-1000-67,1.5,5041020.533,1.857,5136403.546865288,5106523.859824179,5132505.783561,5106523.859824181,5133611.642056,5106523.859824181,5132505.783561,-0.07588506761053222,-0.054355246503005585,-0.07588506761053222
p1000-1000-68,1.5,4846973.528,1.869,4939288.836351408,4916677.227274867,4937255.693111,4916677.2272748565,4937231.168377,4916677.2272748565,4937230.901429,-0.04116267154584745,-0.04165919513076621,-0.0416645997144713
p1000-1000-69,1.5,4601390.562,2.26,4707786.5377532225,4675494.623845288,4706584.032102,4675494.623845297,4706755.145575,4675494.623845297,4706413.58114,-0.02554290942419055,-0.02190821886148572,-0.029163527322489363
p1000-1000-70,1.5,4823309.877,2.004,4921945.668190539,4897348.250057111,4918450.998302,4897348.250057119,4918779.759117,4897348.250057119,4918430.465507,-0.07100179734052184,-0.06432230843179879,-0.07141896559844449
p1000-1000-71,2.0,4482906.31,3.283,4635075.8501607785,4611710.888776017,4631407.508595,4611710.8887760155,4631581.138183,4611710.8887760155,4631407.50858,-0.07914307520234505,-0.0753970828256826,-0.07914307552596178
p1000-1000-72,2.0,4319754.661,3.318,4468003.000558533,4445711.873530019,4464409.162518,4445711.873530019,4464409.162518,4445711.873530019,4464409.162518,-0.08043499612876913,-0.08043499612876913,-0.08043499612876913
p1000-1000-73,2.0,4411025.499,3.608,4576132.354344759,4545405.857258691,4571765.078912,4545405.857258703,4571774.206397,4545405.857258703,4571765.078912,-0.09543595102996753,-0.09523649252892721,-0.09543595102996753
p1000-1000-74,2.0,4377373.287,3.614,4541503.213122237,4514694.883998042,4536904.307669,4514694.883998041,4536904.307669,4514694.883998041,4536904.307669,-0.10126394802383226,-0.10126394802383226,-0.10126394802383226
p1000-1000-75,2.0,4109603.822,3.978,4279856.514132178,4252266.034525647,4272968.540162,4252266.034525647,4272968.540162,4252266.034525647,4272968.540162,-0.16093936671554937,-0.16093936671554937,-0.16093936671554937
p1000-1000-76,3.0,3462808.28,3.678,3595033.6164116194,3581110.328427773,3592032.193012,3581110.3284277674,3592032.193012,3581110.3284277674,3592032.193012,-0.08348804823180378,-0.08348804823180378,-0.08348804823180378
p1000-1000-77,3.0,3634255.961,3.788,3777341.663202096,3763212.428161109,3773883.443395,3763212.428161111,3773883.443395,3763212.428161111,3773883.443395,-0.09155168145854864,-0.09155168145854864,-0.09155168145854864
p1000-1000-78,3.0,3734252.05,3.614,3874268.099101529,3860064.925577377,3871283.056875,3860064.925577377,3871283.056884,3860064.925577377,3871283.056875,-0.07704790040785943,-0.0770479001755497,-0.07704790040785943
p1000-1000-79,3.0,3541005.321,4.171,3695129.1581880227,3683155.855934108,3692868.162906,3683155.8559341095,3692868.162906,3683155.8559341095,3692868.162906,-0.061188531854498705,-0.061188531854498705,-0.061188531854498705
p1000-1000-80,3.0,3662396.401,3.814,3807618.9892499945,3793292.1732884618,3803296.7588,3793292.173288461,3803296.7588,3793292.173288461,3803296.7588,-0.11351530870597773,-0.11351530870597773,-0.11351530870597773
p1000-1000-81,5.0,3346820.536,5.067,3525455.359042693,3519529.403194473,3525467.698081,3519529.403194469,3525467.698081,3519529.403194469,3525467.69808,0.00034999842715914504,0.00034999842715914504,0.0003499983988004032
p1000-1000-82,5.0,3394788.195,5.271,3583684.188580055,3578631.777392464,3583685.689182,3578631.77739246,3583685.689182,3578631.77739246,3583688.247304,4.187316364988781e-05,4.187316364988781e-05,0.0001132556255404528
p1000-1000-83,5.0,3433456.068,5.21,3622171.1868340545,3614965.417582039,3622154.075298,3614965.417582038,3622154.075298,3614965.417582038,3622154.075297,-0.00047241102564681903,-0.00047241102564681903,-0.00047241105326120816
p1000-1000-84,5.0,3218719.182,5.428,3403458.9328765385,3397538.062885316,3403455.442439,3397538.062885322,3403455.442439,3397538.062885322,3403455.442439,-0.00010255559438800069,-0.00010255559438800069,-0.00010255559438800069
p1000-1000-85,5.0,3373740.927,5.155,3557109.9446465285,3550197.736749376,3557003.137354,3550197.73674937,3557003.137354,3550197.73674937,3557003.137354,-0.0030026424313703347,-0.0030026424313703347,-0.0030026424313703347
p1000-1000-86,10.0,3404187.453,6.529,3641971.7912507625,3639843.7600967046,3641905.667242,3639843.760096699,3641905.667242,3639843.760096699,3641905.665887,-0.001815610129696837,-0.001815610129696837,-0.0018156473348131291
p1000-1000-87,10.0,3283041.791,6.615,3515598.6411093865,3513497.907511717,3515590.974451,3513497.9075117167,3515590.974712,3513497.9075117167,3515590.974712,-0.0002180754736032324,-0.0002180680495373986,-0.0002180680495373986
p1000-1000-88,10.0,3108254.294,6.763,3333713.326254599,3331781.211093682,3333726.631565,3331781.211093681,3333726.631565,3331781.211093681,3333726.631565,0.00039911381390680663,0.00039911381390680663,0.00039911381390680663
p1000-1000-89,10.0,3224363.243,6.627,3453207.2901159865,3450686.7239697324,3453190.404047,3450686.723969731,3453190.404047,3450686.723969731,3453190.404047,-0.0004889966795389209,-0.0004889966795389209,-0.0004889966795389209
p1000-1000-90,10.0,3197684.208,6.25,3410863.1552,3410289.9594412344,3410857.249567,3410289.9594412376,3410857.249567,3410289.9594412376,3410857.249567,-0.00017314189197893389,-0.00017314189197893389,-0.00017314189197893389
