instance,testbed,family,z_ref,ref_status,proven,gap_ks-full,obj_ks-full,gap_ks-cg,obj_ks-cg,gap_fks-cg,obj_fks-cg
p1000-1000-1,Test Bed A,1000x1000,920505.22445,Proven Optimal,True,0.0,920505.22445,0.0,920505.22445,0.0,920505.22445
p1000-1000-2,Test Bed A,1000x1000,920834.16909,Proven Optimal,True,0.0,920834.16909,0.0,920834.16909,0.0,920834.16909
p1000-1000-3,Test Bed A,1000x1000,931305.42212,Proven Optimal,True,0.0,931305.422124,0.0,931305.422124,0.0,931305.422124
p1000-1000-4,Test Bed A,1000x1000,917951.67276,Proven Optimal,True,0.0,917951.67276,0.0,917951.67276,0.0,917951.67276
p1000-1000-5,Test Bed A,1000x1000,915635.3505,Proven Optimal,True,-0.0,915635.350496,-0.0,915635.350496,-0.0,915635.350496
p1000-1000-6,Test Bed A,1000x1000,530737.47132,Proven Optimal,True,0.0,530737.471322,0.0,530737.471322,0.0,530737.471322
p1000-1000-7,Test Bed A,1000x1000,570792.94414,Proven Optimal,True,-0.0,570792.944139,-0.0,570792.944139,-0.0,570792.944139
p1000-1000-8,Test Bed A,1000x1000,573827.77861,Proven Optimal,True,0.0,573827.77861,0.0,573827.77861,0.0,573827.77861
p1000-1000-9,Test Bed A,1000x1000,556686.44779,Proven Optimal,True,0.0,556686.447899,0.0,556686.447899,0.0,556686.44782
p1000-1000-10,Test Bed A,1000x1000,543599.7783,Proven Optimal,True,0.0,543599.778304,0.0,543599.778304,0.0,543599.778304
p1000-1000-11,Test Bed A,1000x1000,350069.26967,Proven Optimal,True,-0.0,350069.269655,-0.0,350069.269655,-0.0,350069.269655
p1000-1000-12,Test Bed A,1000x1000,311516.15073,Proven Optimal,True,0.0,311516.150735,0.0,311516.150735,0.0,311516.150735
p1000-1000-13,Test Bed A,1000x1000,331149.17475,Proven Optimal,True,0.0,331149.174757,0.0,331149.174757,0.0,331149.174757
p1000-1000-14,Test Bed A,1000x1000,334622.6107,Proven Optimal,True,0.002139,334629.768685,0.002469,334630.873363,0.000307,334623.637261
p1000-1000-15,Test Bed A,1000x1000,347407.29584,Proven Optimal,True,-0.0,347407.295837,-0.0,347407.295837,-0.0,347407.295837
p1000-1000-16,Test Bed A,1000x1000,95959.21666,Proven Optimal,True,-0.0,95959.216657,-0.0,95959.216657,-0.0,95959.216657
p1000-1000-17,Test Bed A,1000x1000,93998.80723,Proven Optimal,True,0.0,93998.807234,0.0,93998.807234,0.0,93998.807234
p1000-1000-18,Test Bed A,1000x1000,95737.23238,Proven Optimal,True,0.004087,95741.145501,0.0,95737.232382,0.0,95737.232382
p1000-1000-19,Test Bed A,1000x1000,91057.26173,Proven Optimal,True,-0.0,91057.261727,-0.0,91057.261727,-0.0,91057.261727
p1000-1000-20,Test Bed A,1000x1000,97280.06753,Proven Optimal,True,0.0,97280.067532,0.0,97280.067532,0.0,97280.067532
p1000-1000-21,Test Bed A,1000x1000,49884.82588,Proven Optimal,True,0.0,49884.825882,0.0,49884.825882,0.0,49884.825882
p1000-1000-22,Test Bed A,1000x1000,51137.53722,Proven Optimal,True,-0.0,51137.537219,-0.0,51137.537219,-0.0,51137.537219
p1000-1000-23,Test Bed A,1000x1000,50060.79298,Proven Optimal,True,0.011393,50066.496619,0.0,50060.792982,0.0,50060.792982
p1000-1000-24,Test Bed A,1000x1000,50504.31549,Proven Optimal,True,0.0,50504.315493,0.0,50504.315493,0.0,50504.315493
p1000-1000-25,Test Bed A,1000x1000,48338.05942,Proven Optimal,True,0.0,48338.05942,0.0,48338.05942,0.0,48338.05942
p1000-1000-26,Test Bed A,1000x1000,27490.95601,Proven Optimal,True,0.0,27490.956014,0.0,27490.956014,0.0,27490.956014
p1000-1000-27,Test Bed A,1000x1000,26586.94385,Proven Optimal,True,-0.0,26586.943846,-0.0,26586.943846,-0.0,26586.943846
p1000-1000-28,Test Bed A,1000x1000,26563.89072,Proven Optimal,True,-0.0,26563.890716,-0.0,26563.890716,-0.0,26563.890716
p1000-1000-29,Test Bed A,1000x1000,27859.42135,Proven Optimal,True,0.0373,27869.812878,-0.0,27859.421347,-0.0,27859.421347
p1000-1000-30,Test Bed A,1000x1000,26825.19503,Proven Optimal,True,-0.0,26825.195027,-0.0,26825.195027,-0.0,26825.195027
p800-4400-1,Test Bed A,800x4400,745157.62523,Proven Optimal,True,0.0,745157.625233,0.0,745157.625233,0.0,745157.625233
p800-4400-2,Test Bed A,800x4400,742345.88184,Proven Optimal,True,-0.0,742345.881838,-0.0,742345.881838,-0.0,742345.881838
p800-4400-3,Test Bed A,800x4400,747284.67896,Proven Optimal,True,0.0,747284.678965,0.001479,747295.734788,0.0,747284.678965
p800-4400-4,Test Bed A,800x4400,754884.22567,Proven Optimal,True,-0.0,754884.225668,-0.0,754884.225668,-0.0,754884.225668
p800-4400-5,Test Bed A,800x4400,749490.69026,Proven Optimal,True,0.001015,749498.295235,0.0,749490.690261,0.0,749490.690261
p800-4400-6,Test Bed A,800x4400,432590.79806,Best Known (Limit Exceeded),False,0.00161,432597.764848,0.00161,432597.764848,-0.000599,432588.207064
p800-4400-7,Test Bed A,800x4400,447436.80664,Proven Optimal,True,-0.0,447436.806636,-0.0,447436.806636,-0.0,447436.806636
p800-4400-8,Test Bed A,800x4400,468724.72501,Proven Optimal,True,-0.0,468724.725008,-0.0,468724.725008,-0.0,468724.725008
p800-4400-9,Test Bed A,800x4400,424875.9652,Proven Optimal,True,0.002903,424888.299241,0.002903,424888.299241,0.0,424875.9652
p800-4400-10,Test Bed A,800x4400,441218.45184,Proven Optimal,True,0.003694,441234.749841,0.003694,441234.749841,-0.0,441218.451651
p800-4400-11,Test Bed A,800x4400,290546.19753,Proven Optimal,True,0.005486,290562.13786,0.005486,290562.13786,0.0,290546.19753
p800-4400-12,Test Bed A,800x4400,292210.14819,Proven Optimal,True,0.003661,292220.844986,0.003661,292220.844986,-0.0,292210.148188
p800-4400-13,Test Bed A,800x4400,304561.73711,Proven Optimal,True,0.0,304561.73711,0.0,304561.73711,0.0,304561.73711
p800-4400-14,Test Bed A,800x4400,304417.41462,Proven Optimal,True,-0.0,304417.414617,-0.0,304417.414617,-0.0,304417.414617
p800-4400-15,Test Bed A,800x4400,282870.37226,Proven Optimal,True,0.0,282870.37226,-2e-06,282870.366902,-2e-06,282870.366626
p800-4400-16,Test Bed A,800x4400,100662.71955,Proven Optimal,True,0.0,100662.719551,0.0,100662.719551,0.0,100662.719551
p800-4400-17,Test Bed A,800x4400,99972.38603,Best Known (Limit Exceeded),False,0.013302,99985.684845,0.04596,100018.33352,-0.005469,99966.918884
p800-4400-18,Test Bed A,800x4400,103930.87431,Best Known (Limit Exceeded),False,0.013982,103945.405687,0.030115,103962.173425,-0.009384,103921.120995
p800-4400-19,Test Bed A,800x4400,104689.0114,Proven Optimal,True,-0.0,104689.011398,-0.0,104689.011398,-0.0,104689.011398
p800-4400-20,Test Bed A,800x4400,102453.9474,Proven Optimal,True,0.002368,102456.373795,0.0,102453.947403,0.0,102453.947403
p800-4400-21,Test Bed A,800x4400,72539.1373,Best Known (Limit Exceeded),False,0.074282,72593.020916,0.026398,72558.286471,-0.0,72539.137256
p800-4400-22,Test Bed A,800x4400,70821.3158,Best Known (Limit Exceeded),False,0.01126,70829.290581,0.003665,70823.911204,0.003665,70823.911204
p800-4400-23,Test Bed A,800x4400,72794.7076,Best Known (Limit Exceeded),False,0.002929,72796.839708,-0.029386,72773.316311,-0.029386,72773.316311
p800-4400-24,Test Bed A,800x4400,73006.61677,Best Known (Limit Exceeded),False,0.035483,73032.522021,0.01565,73018.042489,-0.001438,73005.566779
p800-4400-25,Test Bed A,800x4400,74527.65349,Best Known (Limit Exceeded),False,0.757113,75091.911956,0.017191,74540.465841,0.013261,74537.536952
p800-4400-26,Test Bed A,800x4400,59499.3423,Best Known,False,-0.0,59499.342297,-0.0,59499.342297,-0.0,59499.342297
p800-4400-27,Test Bed A,800x4400,58852.11067,Best Known,False,0.024602,58866.589272,-0.0,58852.110665,-0.0,58852.110665
p800-4400-28,Test Bed A,800x4400,60063.03417,Best Known (Limit Exceeded),False,-0.0,60063.034169,-0.0,60063.034169,-0.0,60063.034169
p800-4400-29,Test Bed A,800x4400,57936.39921,Best Known,False,0.0,57936.39921,0.00358,57938.473196,0.0,57936.39921
p800-4400-30,Test Bed A,800x4400,58041.44423,Proven Optimal,True,0.0,58041.444232,0.0,58041.444232,0.0,58041.444232
p1000-4000-1,Test Bed A,1000x4000,935346.19236,Proven Optimal,True,0.0,935346.192363,0.0,935346.192363,0.0,935346.192363
p1000-4000-2,Test Bed A,1000x4000,961530.55676,Proven Optimal,True,0.000604,961536.359861,0.000604,961536.359861,0.0,961530.556765
p1000-4000-3,Test Bed A,1000x4000,924322.09106,Proven Optimal,True,0.0,924322.091064,0.0,924322.091064,0.0,924322.091064
p1000-4000-4,Test Bed A,1000x4000,961794.30851,Proven Optimal,True,-0.0,961794.308508,-0.0,961794.308508,-0.0,961794.308508
p1000-4000-5,Test Bed A,1000x4000,955174.82778,Proven Optimal,True,0.016361,955331.108526,0.00257,955199.377436,-0.0,955174.827777
p1000-4000-6,Test Bed A,1000x4000,559009.85914,Proven Optimal,True,0.003364,559028.66263,0.003364,559028.66263,0.0,559009.859142
p1000-4000-7,Test Bed A,1000x4000,582189.88438,Proven Optimal,True,0.000433,582192.405495,0.000433,582192.405495,0.0,582189.884382
p1000-4000-8,Test Bed A,1000x4000,572170.10414,Proven Optimal,True,3.7e-05,572170.317079,0.007263,572211.662184,0.0,572170.104142
p1000-4000-9,Test Bed A,1000x4000,537074.9134,Proven Optimal,True,-0.0,537074.913395,0.000599,537078.13238,-0.0,537074.913395
p1000-4000-10,Test Bed A,1000x4000,562949.07447,Proven Optimal,True,0.000989,562954.642951,0.000989,562954.642951,-0.0,562949.074466
p1000-4000-11,Test Bed A,1000x4000,338880.03645,Proven Optimal,True,0.002522,338888.583555,0.007496,338905.437939,0.0,338880.036453
p1000-4000-12,Test Bed A,1000x4000,353171.94813,Proven Optimal,True,0.001189,353176.146211,0.001189,353176.146211,0.0,353171.94813
p1000-4000-13,Test Bed A,1000x4000,354229.64893,Proven Optimal,True,0.017315,354290.982178,0.01109,354268.934188,-0.0,354229.648927
p1000-4000-14,Test Bed A,1000x4000,368438.25806,Proven Optimal,True,0.002633,368447.958857,0.004878,368456.231029,0.0,368438.258091
p1000-4000-15,Test Bed A,1000x4000,359137.89462,Proven Optimal,True,0.0,359137.894624,0.0,359137.894624,0.0,359137.894624
p1000-4000-16,Test Bed A,1000x4000,113966.86069,Best Known (Limit Exceeded),False,-0.0,113966.860686,0.184998,114177.696535,-0.0,113966.860686
p1000-4000-17,Test Bed A,1000x4000,116302.2556,Proven Optimal,True,0.004008,116306.916579,0.272637,116619.338214,0.0,116302.255602
p1000-4000-18,Test Bed A,1000x4000,119521.78726,Proven Optimal,True,-0.0,119521.787256,0.068413,119603.556161,-0.0,119521.787256
p1000-4000-19,Test Bed A,1000x4000,113859.71489,Best Known (Limit Exceeded),False,0.004987,113865.392676,0.019068,113881.425862,-0.013394,113844.464301
p1000-4000-20,Test Bed A,1000x4000,119546.23213,Best Known (Limit Exceeded),False,0.123324,119693.661451,0.027995,119579.699685,-0.002491,119543.254821
p1000-4000-21,Test Bed A,1000x4000,74419.63564,Best Known (Limit Exceeded),False,0.0,74419.63564,0.225002,74587.081431,0.0,74419.63564
p1000-4000-22,Test Bed A,1000x4000,72594.06635,Best Known (Limit Exceeded),False,0.025993,72612.935639,0.134744,72691.882456,0.025993,72612.935639
p1000-4000-23,Test Bed A,1000x4000,76095.52045,Best Known (Limit Exceeded),False,0.004213,76098.726383,0.021494,76111.876615,-0.014052,76084.827821
p1000-4000-24,Test Bed A,1000x4000,72333.93963,Best Known (Limit Exceeded),False,,,0.041229,72363.762419,0.021586,72349.553408
p1000-4000-25,Test Bed A,1000x4000,73265.55547,Best Known (Limit Exceeded),False,,,0.006192,73270.091998,-0.016507,73253.461288
p1000-4000-26,Test Bed A,1000x4000,55590.8711,Proven Optimal,True,,,-0.0,55590.871098,-0.0,55590.871098
p1000-4000-27,Test Bed A,1000x4000,58271.91001,Best Known (Limit Exceeded),False,,,0.0,58271.91001,0.0,58271.91001
p1000-4000-28,Test Bed A,1000x4000,55869.13169,Proven Optimal,True,,,-0.0,55869.131679,-0.0,55869.131679
p1000-4000-29,Test Bed A,1000x4000,55853.15327,Proven Optimal,True,,,0.039433,55875.177783,0.0,55853.15327
p1000-4000-30,Test Bed A,1000x4000,54939.91068,Proven Optimal,True,,,0.022819,54952.447504,0.0,54939.910684
p1200-3000-1,Test Bed A,1200x3000,1081002.0182,Proven Optimal,True,0.000174,1081003.897199,0.00079,1081010.556791,0.0,1081002.018213
p1200-3000-2,Test Bed A,1200x3000,1107883.622,Proven Optimal,True,-0.0,1107883.621965,-0.0,1107883.621965,-0.0,1107883.621965
p1200-3000-3,Test Bed A,1200x3000,1078677.4198,Proven Optimal,True,0.0,1078677.419805,0.0,1078677.419805,0.0,1078677.419805
p1200-3000-4,Test Bed A,1200x3000,1113783.82287,Proven Optimal,True,0.0,1113783.822871,0.0,1113783.822871,0.0,1113783.822871
p1200-3000-5,Test Bed A,1200x3000,1087166.44553,Proven Optimal,True,0.0,1087166.445532,0.0,1087166.445532,0.0,1087166.445532
p1200-3000-6,Test Bed A,1200x3000,627192.8911,Proven Optimal,True,-0.0,627192.891071,-0.0,627192.891071,-0.0,627192.891071
p1200-3000-7,Test Bed A,1200x3000,636045.11016,Proven Optimal,True,0.001759,636056.301253,0.001759,636056.301253,0.0,636045.11016
p1200-3000-8,Test Bed A,1200x3000,699767.23959,Best Known (Limit Exceeded),False,0.0,699767.239595,0.0,699767.239595,0.0,699767.239595
p1200-3000-9,Test Bed A,1200x3000,660310.50969,Proven Optimal,True,3e-06,660310.528426,3e-06,660310.528426,3e-06,660310.528426
p1200-3000-10,Test Bed A,1200x3000,638753.46363,Proven Optimal,True,-0.0,638753.463612,-0.0,638753.463612,-0.0,638753.463612
p1200-3000-11,Test Bed A,1200x3000,410938.10766,Proven Optimal,True,0.000908,410941.839386,0.000908,410941.839417,-0.0,410938.107568
p1200-3000-12,Test Bed A,1200x3000,404562.92392,Proven Optimal,True,-0.0,404562.923917,-0.0,404562.923917,-0.0,404562.923917
p1200-3000-13,Test Bed A,1200x3000,426698.57867,Proven Optimal,True,0.003673,426714.252107,0.003673,426714.252107,-0.0,426698.57823
p1200-3000-14,Test Bed A,1200x3000,414823.40034,Proven Optimal,True,-0.0,414823.400335,-0.0,414823.400335,-0.0,414823.400335
p1200-3000-15,Test Bed A,1200x3000,410574.05705,Proven Optimal,True,0.001036,410578.31083,0.001036,410578.31083,0.0,410574.057101
p1200-3000-16,Test Bed A,1200x3000,125832.09106,Best Known (Limit Exceeded),False,0.005464,125838.966312,0.001084,125833.454452,-0.002328,125829.161847
p1200-3000-17,Test Bed A,1200x3000,124868.80963,Proven Optimal,True,0.004375,124874.27224,0.009633,124880.838569,-0.0,124868.809627
p1200-3000-18,Test Bed A,1200x3000,126550.88017,Proven Optimal,True,0.004889,126557.067099,0.004889,126557.067099,-0.0,126550.880167
p1200-3000-19,Test Bed A,1200x3000,130075.33724,Proven Optimal,True,0.008516,130086.414572,0.003991,130080.528703,0.0,130075.337244
p1200-3000-20,Test Bed A,1200x3000,120937.95303,Best Known (Limit Exceeded),False,0.001008,120939.171691,0.001008,120939.171691,-0.002053,120935.470716
p1200-3000-21,Test Bed A,1200x3000,73073.3299,Proven Optimal,True,0.02681,73092.921001,-0.0,73073.329899,-0.0,73073.329899
p1200-3000-22,Test Bed A,1200x3000,70737.12961,Best Known (Limit Exceeded),False,-0.00319,70734.873107,-0.001308,70736.204594,-0.014548,70726.838748
p1200-3000-23,Test Bed A,1200x3000,70985.54482,Best Known (Limit Exceeded),False,0.011366,70993.613349,0.011366,70993.613349,0.0,70985.544824
p1200-3000-24,Test Bed A,1200x3000,73184.62538,Best Known (Limit Exceeded),False,-0.0,73184.625377,-0.0,73184.625377,-0.0,73184.625377
p1200-3000-25,Test Bed A,1200x3000,74469.66385,Best Known (Limit Exceeded),False,9.9e-05,74469.737721,9.9e-05,74469.737721,-0.002434,74467.851159
p1200-3000-26,Test Bed A,1200x3000,47911.2738,Proven Optimal,True,0.0,47911.273803,0.0,47911.273803,0.0,47911.273803
p1200-3000-27,Test Bed A,1200x3000,47686.27851,Best Known (Limit Exceeded),False,0.0,47686.278515,0.001945,47687.205913,0.0,47686.278515
p1200-3000-28,Test Bed A,1200x3000,48650.36831,Best Known (Limit Exceeded),False,0.014522,48657.433197,0.004679,48652.644647,-0.009556,48645.719297
p1200-3000-29,Test Bed A,1200x3000,48084.83671,Best Known (Limit Exceeded),False,-0.003717,48083.049269,-0.003717,48083.049269,-0.003717,48083.049269
p1200-3000-30,Test Bed A,1200x3000,48638.07008,Best Known (Limit Exceeded),False,0.06323,48668.824135,0.04453,48659.728385,0.015727,48645.719297
p2000-2000-1,Test Bed A,2000x2000,1821914.12536,Proven Optimal,True,7e-06,1821914.258147,0.0,1821914.125362,0.0,1821914.12536
p2000-2000-2,Test Bed A,2000x2000,1848136.28654,Proven Optimal,True,0.000403,1848143.743209,0.000403,1848143.743209,-0.0,1848136.286535
