instance,obj_ks-full,lp_ks-full,time_ks-full,obj_ks-cg,lp_ks-cg,time_ks-cg,obj_fks-cg,lp_fks-cg,time_fks-cg,z_star,opt_source,opt_exact,gap_opt_ks-full,gap_opt_ks-cg,gap_opt_fks-cg
p2000-2000-1,1821914.258147,1821902.6379284929,1047.2976,1821914.125362,1821902.6379284903,320.613,1821914.12536,1821902.6379284903,29.3107,1821914.12536,CM2019,False,7.288323763823853e-06,1.0977549386920464e-10,0.0
p2000-2000-10,1032307.238861,1032290.8680254854,1274.3931,1032355.667717,1032290.8680254848,347.11,1032307.238861,1032290.8680254848,231.8077,,,,,,
p2000-2000-11,642712.79317,642693.4657153557,1390.7895,642712.79317,642693.4657153556,215.74,642711.600477,642693.4657153556,63.1132,,,,,,
p2000-2000-12,684920.95742,684901.1109289341,1295.6541,684920.95742,684901.1109289346,396.8416,684919.869562,684901.1109289346,108.1586,,,,,,
p2000-2000-13,648823.94554,648806.2190863217,1279.0688,648835.517585,648806.2190863228,582.5217,648821.968775,648806.2190863228,57.2172,648821.96878,CM2019,True,0.00030466909184771073,0.002088216128918057,-7.706332881835947e-10
p2000-2000-14,661298.62236,661293.61586563,1201.293,661298.62236,661293.6158656301,283.7641,661298.62236,661293.6158656301,29.3924,661298.62236,CM2019,True,0.0,0.0,0.0
p2000-2000-15,699292.799861,699276.811759899,1392.7966,699292.799861,699276.8117599002,491.4266,699290.016012,699276.8117599002,43.2963,699290.01601,CM2019,True,0.000398096774768608,0.000398096774768608,2.8600654709735474e-10
p2000-2000-16,183581.518867,183553.18039058015,1156.1698,183581.518867,183553.1803905803,614.064,183580.508718,183553.1803905803,98.6136,183580.50872,CM2019,True,0.0005502474129943103,0.0005502474129943103,-1.089448571055654e-09
p2000-2000-17,192332.358067,192307.53604305087,916.1923,192332.358067,192307.5360430509,647.6664,192332.358067,192307.5360430509,176.7913,192332.35807,CM2019,True,-1.5597966820319417e-09,-1.5597966820319417e-09,-1.5597966820319417e-09
p2000-2000-18,181463.628561,181434.02391919369,920.6839,181455.709192,181434.02391919377,573.3374,181451.616871,181434.02391919377,104.2759,181451.61687,CM2019,False,0.006619776228612024,0.0022553240751463006,5.511152954948977e-10
p2000-2000-19,185587.065113,185561.03229386816,826.2883,185587.065113,185561.032293868,529.2349,185587.065113,185561.032293868,97.6998,185587.06511,CM2019,True,1.6164885941116187e-09,1.6164885941116187e-09,1.6164885941116187e-09
p2000-2000-2,1848143.743209,1848112.993047485,1212.387,1848143.743209,1848112.9930474807,429.477,1848136.286535,1848112.9930474807,39.3161,1848136.28654,CM2019,True,0.0004034696496294361,0.0004034696496294361,-2.7054487858293735e-10
p2000-2000-20,177998.900925,177968.49486174475,1261.2632,177997.081532,177968.49486174472,649.3279,177993.718632,177968.49486174472,86.2867,177992.43989,CM2019,False,0.003629949116928032,0.0026077748037337278,0.0007184248953411901
p2000-2000-21,93242.71082,93192.5750172018,1614.8775,93237.487086,93192.57501720174,643.8653,93236.567817,93192.57501720174,241.3882,93236.56796,CM2019,True,0.0065884664508758396,0.0009857999067358761,-1.5337329613018263e-07
p2000-2000-22,94309.785701,94236.19709588804,1724.0146,94302.458043,94236.19709588792,479.517,94302.297817,94236.19709588792,252.0132,94302.29782,CM2019,True,0.00794029538313709,0.0001699036011877217,-3.1812674355943722e-09
p2000-2000-23,95936.510307,95845.33574918828,1121.6905,95908.097689,95845.33574918828,444.063,95904.063108,95845.33574918828,363.8504,,,,,,
p2000-2000-24,96234.239551,96179.12392926948,737.4794,96224.526759,96179.12392926948,460.4109,96221.190698,96179.12392926948,146.1163,96221.1907,CM2019,True,0.01356130692737266,0.003467073079977837,-2.0785449260414436e-09
p2000-2000-25,94121.725675,94037.37531768462,1330.3085,94121.725675,94037.37531768468,506.477,94113.425373,94037.37531768468,361.5697,94113.42537,CM2019,True,0.008819469663722245,0.008819469663722245,3.1876517933233972e-09
p2000-2000-26,47491.436853,47356.07439582431,911.0368,47491.436853,47356.07439582433,531.1269,47491.436853,47356.07439582433,687.6215,,,,,,
p2000-2000-27,48200.612838,48052.772732631754,609.3342,48178.54932,48052.77273263177,656.2692,48175.578755,48052.77273263177,1003.0557,,,,,,
p2000-2000-28,47698.930663,47591.06448383312,802.433,47698.930663,47591.06448383313,650.5121,47687.620235,47591.06448383313,769.1415,,,,,,
p2000-2000-29,47036.664319,46918.239042049376,982.6732,47040.317325,46918.23904204931,494.1414,47035.672852,46918.23904204931,449.1202,,,,,,
p2000-2000-3,1799167.069158,1799155.460468895,1228.9638,1799167.069158,1799155.460468894,411.0442,1799167.069158,1799155.460468894,30.5181,1799167.06916,CM2019,True,-1.1116339684454722e-10,-1.1116339684454722e-10,-1.1116339684454722e-10
p2000-2000-30,48978.750927,48832.7849031148,1651.8719,48982.038326,48832.78490311475,924.2723,48972.282891,48832.78490311475,903.0734,,,,,,
p2000-2000-4,1851083.973921,1851079.8404569237,1084.1771,1851083.973921,1851079.840456924,246.3565,1851083.973921,1851079.840456924,31.1792,1851083.97392,CM2019,True,5.4022811962208056e-11,5.4022811962208056e-11,5.4022811962208056e-11
p2000-2000-5,1848184.612232,1848156.0995085745,1183.3905,1848184.612232,1848156.099508573,434.5724,1848184.612232,1848156.099508573,71.3891,,,,,,
p2000-2000-6,1061477.296041,1061458.607734805,1471.0035,1061477.296041,1061458.607734805,428.6473,1061472.741527,1061458.607734805,43.7818,1061472.74153,CM2019,True,0.00042907470175557855,0.00042907470175557855,-2.8262834513827426e-10
p2000-2000-7,1042846.789939,1042827.784249372,1250.3506,1042846.789939,1042827.7842715776,384.3372,1042839.287978,1042827.7842715776,59.9811,1042839.28798,CM2019,True,0.0007193782480661111,0.0007193782480661111,-1.9178556581434598e-10
p2000-2000-8,1044710.064365,1044697.5887429464,1273.4021,1044710.064365,1044697.5887429466,402.4182,1044710.021708,1044697.5887429466,37.5319,1044710.02171,CM2019,True,4.08295116453926e-06,4.08295116453926e-06,-1.9144214063468822e-10
p2000-2000-9,1096267.434016,1096246.887882111,1527.5412,1096277.270747,1096246.8878821088,330.1141,1096267.387735,1096246.8878821088,94.0573,,,,,,
